number	category	brand	ΥΛΙΚΟ	ΧΡΩΜΑ	ΔΙΑΣΤΑΣΕΙΣ	ΣΥΣΚΕΥΑΣΙΑ ΔΩΡΟΥ	info gr	info en	warranty	price	discount	stock	hidden
IL23	ACCESSORIES>LEATHER WALLETS	Jos Von Arx	genuine italian leather, stainless steel	black	95Χ70mm	yes	Συμπεριλαμβάνεται χρηματοπιάστρα.	Money clip included.	16 year	44		1	
IL31	ACCESSORIES>LEATHER CARD HOLDERS	Jos Von Arx	genuine italian bovine leather	brown	105Χ73mm	yes			17 year	44		2	
IL35	ACCESSORIES>LEATHER WALLETS	Jos Von Arx	genuine italian leather, stainless steel	dark brown	95Χ70mm	yes	Συμπεριλαμβάνεται χρηματοπιάστρα.	Money clip included.	18 year	44		1	
IL79	ACCESSORIES>LEATHER WALLETS	Jos Von Arx	genuine italian bovine leather	dark brown	100Χ80mm	yes	Τύπου "slip card wallet".	Slim card wallet.	19 year	39		1	
PEN20	JEWELLERY>MENS>PENDANTS	Jos Von Arx	stainless steel with pvd plating	black		yes	Συμπεριλαμβάνεται η αλυσίδα.	Chain is included.	20 year	29		1	
PEN22	JEWELLERY>MENS>PENDANTS	Jos Von Arx	stainless steel with pvd plating			yes	Συμπεριλαμβάνεται η αλυσίδα.	Chain is included.	21 year	29		1	
CL09S-Blue	ACCESSORIES>CUFFLINKS	Jos Von Arx	Solid Brass with PVD plating	blue		yes			22 year	24		0	
CL38S	ACCESSORIES>CUFFLINKS	Jos Von Arx	Solid Brass with PVD plating			yes			23 year	29		1	
CL94S	ACCESSORIES>CUFFLINKS	Jos Von Arx	Solid Brass with PVD plating			yes			24 year	24		1	
CL107S	ACCESSORIES>CUFFLINKS	Jos Von Arx	Solid Brass with PVD plating			yes			25 year	24		1	
CL111S	ACCESSORIES>CUFFLINKS	Jos Von Arx	Solid Brass with PVD plating			yes			26 year	24		1	
CT08	ACCESSORIES>GIFT SETS	Jos Von Arx	Solid Brass with PVD plating			yes			27 year	44		1	
EX37	ACCESSORIES>GIFT SETS	Jos Von Arx	Solid Brass with PVD plating			yes			28 year	39		1	
SE46	ACCESSORIES>GIFT SETS	Jos Von Arx	genuine italian leather, Solid Brass with PVD plating			yes			29 year	99		1	
GL05BLK	ACCESSORIES>GIFT SETS	Jos Von Arx	leather			yes	Συμπεριλαμβάνονται τρία μπαλάκια golf.	Three quality golf balls included.	30 year	46		1	
